company_name,exchange
BOSCH HOME COMFORT INDIA LIMITED,NSE
Bosch Limited,NSE
Bharat Petroleum Corporation Limited,NSE
BPL Limited,NSE
Brigade Enterprises Limited,NSE
Brigade Hotel Ventures Limited,NSE
Britannia Industries Limited,NSE
Bharat Road Network Limited,NSE
Brooks Laboratories Limited,NSE
BSE Limited,NSE
Bombay Super Hybrid Seeds Limited,NSE
BSL Limited,NSE
BIRLASOFT LIMITED,NSE
Bodhi Tree Multimedia Limited,NSE
Butterfly Gandhimathi Appliances Limited,NSE
Barak Valley Cements Limited,NSE
The Byke Hospitality Ltd,NSE
California Software Company Limited,NSE
Camlin Fine Sciences Limited,NSE
Campus Activewear Limited,NSE
Computer Age Management Services Limited,NSE
Canara Bank,NSE
Can Fin Homes Limited,NSE
Canara HSBC Life Insurance Company Limited,NSE
Cantabil Retail India Limited,NSE
Capacit'e Infraprojects Limited,NSE
Capillary Technologies India Limited,NSE
Capital Small Finance Bank Limited,NSE
Caplin Point Laboratories Limited,NSE
Capital Trust Limited,NSE
Carborundum Universal Limited,NSE
CARE Ratings Limited,NSE
Carraro India Limited,NSE
Cartrade Tech Limited,NSE
CARYSIL LIMITED,NSE
Castrol India Limited,NSE
Consolidated Construction Consortium Limited,NSE
Country Club Hospitality & Holidays Limited,NSE
CCL Products (India) Limited,NSE
Central Depository Services (India) Limited,NSE
CEAT Limited,NSE
Ceigall India Limited,NSE
Celebrity Fashions Limited,NSE
Cello World Limited,NSE
Cemindia Projects Limited,NSE
Century Enka Limited,NSE
Century Extrusions Limited,NSE
Central Bank of India,NSE
Centrum Capital Limited,NSE
Centum Electronics Limited,NSE
Century Plyboards (India) Limited,NSE
Cera Sanitaryware Limited,NSE
Cerebra Integrated Technologies Limited,NSE
CESC Limited,NSE
Concord Enviro Systems Limited,NSE
Capri Global Capital Limited,NSE
CG Power and Industrial Solutions Limited,NSE
Chalet Hotels Limited,NSE
Chambal Fertilizers & Chemicals Limited,NSE
Chembond Material Technologies Limited,NSE
Chembond Chemicals Limited,NSE
Chemcon Speciality Chemicals Limited,NSE
Chemfab Alkalis Limited,NSE
Chemplast Sanmar Limited,NSE
Chennai Petroleum Corporation Limited,NSE
Cheviot Company Limited,NSE
Choice International Limited,NSE
Cholamandalam Investment and Finance Company Limited,NSE
Cholamandalam Financial Holdings Limited,NSE
CIE Automotive India Limited,NSE
Capital India Finance Limited,NSE
Cigniti Technologies Limited,NSE
Cineline India Limited,NSE
Cinevista Limited,NSE
Cipla Limited,NSE
Clean Science and Technology Limited,NSE
CL Educate Limited,NSE
Chaman Lal Setia Exports Limited,NSE
CMS Info Systems Limited,NSE
Creative Newtech Limited,NSE
Coal India Limited,NSE
Coastal Corporation Limited,NSE
Cochin Shipyard Limited,NSE
Coffee Day Enterprises Limited,NSE
Coforge Limited,NSE
Cohance Lifesciences Limited,NSE
Colgate Palmolive (India) Limited,NSE
Compuage Infocom Limited,NSE
Compucom Software Limited,NSE
Commercial Syn Bags Limited,NSE
Container Corporation of India Limited,NSE
Concord Biotech Limited,NSE
Confidence Petroleum India Limited,NSE
Consolidated Finvest & Holdings Limited,NSE
Control Print Limited,NSE
Coral India Finance & Housing Limited,NSE
Cords Cable Industries Limited,NSE
Coromandel International Limited,NSE
CORONA Remedies Limited,NSE
COSMO FIRST LIMITED,NSE
Country Condo's Limited,NSE
CP Capital Limited,NSE
Career Point Edutech Limited,NSE
Aditya Infotech Limited,NSE
Craftsman Automation Limited,NSE
Canara Robeco Asset Management Company Limited,NSE
Creative Eye Limited,NSE
CREDITACCESS GRAMEEN LIMITED,NSE
Crest Ventures Limited,NSE
CRISIL Limited,NSE
Crizac Limited,NSE
Crompton Greaves Consumer Electricals Limited,NSE
Crown Lifters Limited,NSE
CSB Bank Limited,NSE
CSL Finance Limited,NSE
Cambridge Technology Enterprises Limited,NSE
City Union Bank Limited,NSE
Cubex Tubings Limited,NSE
Cummins India Limited,NSE
Cupid Limited,NSE
Cura Technologies Limited,NSE
Cyber Media (India) Limited,NSE
Cybertech Systems And Software Limited,NSE
Cyient Limited,NSE
Cyient DLM Limited,NSE
Dabur India Limited,NSE
Dalmia Bharat Limited,NSE
Dalmia Bharat Sugar and Industries Limited,NSE
Dam Capital Advisors Limited,NSE
Damodar Industries Limited,NSE
Dangee Dums Limited,NSE
Datamatics Global Services Limited,NSE
Data Patterns (India) Limited,NSE
Davangere Sugar Company Limited,NSE
D.B.Corp Limited,NSE
